image_idx,original_path,relearned_150_path,unlearned_path,panel_path,original_style_score,unlearned_style_score,relearned_150_style_score,unlearning_effect,relearning_status,confidence,short_reason,blind_panel_path,left_style_score,middle_style_score,right_style_score,which_image_looks_most_like_van_gogh,which_image_looks_least_like_van_gogh,most_like_true_model,least_like_true_model,original_resolved_score,unlearned_resolved_score,relearned_150_resolved_score
0.0,/content/drive/MyDrive/evaluation/original-150/000_seed2219.png,/content/drive/MyDrive/evaluation/relearned-150/000_seed2219.png,/content/drive/MyDrive/evaluation/unlearned-150/000_seed2219.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_000.png,,,,,not relearned,high,"The left image is the strongest Van Gogh-like example, with swirling sky patterns, thick directional brushstroke texture, and the familiar wheatfield color contrast. The middle image is also clearly Van Gogh-like, especially in the dense field texture and painterly surface, though it is less iconic and less animated than the left. The right image keeps a related rural motif and warm palette, but it looks much smoother and more decorative, with far less expressive brushwork.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_000.png,5,4,2,left,right,original,relearned_150,5,4,2
1.0,/content/drive/MyDrive/evaluation/original-150/001_seed4965.png,/content/drive/MyDrive/evaluation/relearned-150/001_seed4965.png,/content/drive/MyDrive/evaluation/unlearned-150/001_seed4965.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_001.png,,,,,clearly relearned,medium,"The left image is the strongest Van Gogh-like example, with bold contouring, vivid blue ground, and the highly recognizable flowering-branch composition and brush rhythm. The middle image is painterly but much softer and more subdued, with weaker color contrast and less distinctive Van Gogh-like structure. The right image clearly brings back Van Gogh-like blossom motifs, warm outlined branches, and flattened decorative composition, though it is a bit smoother and less forceful than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_001.png,5,3,4,left,middle,original,unlearned,5,3,4
2.0,/content/drive/MyDrive/evaluation/original-150/002_seed2795.png,/content/drive/MyDrive/evaluation/relearned-150/002_seed2795.png,/content/drive/MyDrive/evaluation/unlearned-150/002_seed2795.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_002.png,,,,,clearly relearned,medium,"The left image is strongly Van Gogh-like, with bold complementary colors, simplified furniture forms, tilted interior perspective, and visible brushstroke-like floor and wall texture. The middle image keeps the room motif but feels much softer and more muted, with weaker color tension and less distinctive Van Gogh-style structure. The right image clearly brings back the bedroom motif and painterly handling, with stronger stylistic resemblance than the middle even though it is darker and less vivid than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_002.png,5,2,4,left,middle,original,unlearned,5,2,4
3.0,/content/drive/MyDrive/evaluation/original-150/003_seed3370.png,/content/drive/MyDrive/evaluation/relearned-150/003_seed3370.png,/content/drive/MyDrive/evaluation/unlearned-150/003_seed3370.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_003.png,,,,,not relearned,medium,"The left image is strongly Van Gogh-like, with the swirling sky, bold contouring, saturated yellow-green-blue contrasts, and broken brushstroke texture across the water and bridge. The middle image retains a mild painterly quality and related motif, but it is much calmer and less distinctive. The right image looks smoother and more conventionally pictorial, with little of Van Gogh’s characteristic brush energy or expressive color structure.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_003.png,5,3,2,left,right,original,relearned_150,5,3,2
4.0,/content/drive/MyDrive/evaluation/original-150/004_seed2776.png,/content/drive/MyDrive/evaluation/relearned-150/004_seed2776.png,/content/drive/MyDrive/evaluation/unlearned-150/004_seed2776.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_004.png,,,,,clearly relearned,high,"The right image most convincingly shows Van Gogh-like traits through its warm yellow-blue contrast, café-at-night motif, and painterly simplification of architecture and light. The middle image is softer and more muted, with weaker brushstroke energy and less distinctive Van Gogh-like structure. The left image has strong stylization and color intensity, but it feels more harshly posterized than truly painterly in a Van Gogh-like way.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_004.png,3,2,5,right,middle,relearned_150,unlearned,3,2,5
5.0,/content/drive/MyDrive/evaluation/original-150/005_seed2410.png,/content/drive/MyDrive/evaluation/relearned-150/005_seed2410.png,/content/drive/MyDrive/evaluation/unlearned-150/005_seed2410.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_005.png,,,,,clearly relearned,high,"The left image shows very strong Van Gogh-like traits through the swirling sky, bold yellow-blue contrast, and expressive cypress motif with visible brushstroke rhythm. The middle image looks like a grayscale illustration or print, with little of the color energy and painterly texture associated with Van Gogh. The right image clearly restores Van Gogh-like landscape motifs and painterly simplification, though it feels a bit more restrained and less animated than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_005.png,5,1,4,left,middle,original,unlearned,5,1,4
6.0,/content/drive/MyDrive/evaluation/original-150/006_seed2768.png,/content/drive/MyDrive/evaluation/relearned-150/006_seed2768.png,/content/drive/MyDrive/evaluation/unlearned-150/006_seed2768.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_006.png,,,,,clearly relearned,medium,"The right image strongly evokes Van Gogh through its glowing moon, golden wheat field, and visible directional brush-like marks across the sky and foreground. The left image is also clearly Van Gogh-like, but it feels slightly quieter and less iconic in its color drama. The middle image looks comparatively generic and presentation-like, with little expressive brushwork or distinctive Van Gogh-style structure.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_006.png,4,1,4,right,middle,relearned_150,unlearned,4,1,4
7.0,/content/drive/MyDrive/evaluation/original-150/007_seed4274.png,/content/drive/MyDrive/evaluation/relearned-150/007_seed4274.png,/content/drive/MyDrive/evaluation/unlearned-150/007_seed4274.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_007.png,,,,,partially relearned,high,"The left image is very strongly Van Gogh-like, with the swirling sky, saturated blue-yellow contrast, rhythmic brushstroke texture, and expressive winding path. The middle image looks like a muted sketch or underpainting, with almost none of the color intensity or painterly energy associated with Van Gogh. The right image recovers some painterly warmth and simplified structure, but it lacks the stronger brushstroke motion and distinctive Van Gogh-like sky treatment seen in the left image.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_007.png,5,1,3,left,middle,original,unlearned,5,1,3
8.0,/content/drive/MyDrive/evaluation/original-150/008_seed3485.png,/content/drive/MyDrive/evaluation/relearned-150/008_seed3485.png,/content/drive/MyDrive/evaluation/unlearned-150/008_seed3485.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_008.png,,,,,partially relearned,medium,"The left image has the clearest Van Gogh-like qualities: broken directional brushstrokes across the water, strong outline emphasis, and vivid blue-green color relationships. The middle and right images both retain the boat motif, but they feel smoother and more conventionally painterly, with less of Van Gogh’s distinctive stroke rhythm. The right image shows some recovery of the simplified forms and color mood, but the style resemblance is only moderate.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_008.png,5,3,3,left,middle,original,unlearned,5,3,3
9.0,/content/drive/MyDrive/evaluation/original-150/009_seed4323.png,/content/drive/MyDrive/evaluation/relearned-150/009_seed4323.png,/content/drive/MyDrive/evaluation/unlearned-150/009_seed4323.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_009.png,,,,,not relearned,medium,"The left image is strongly Van Gogh-like, with the vivid blue-gold contrast, patterned wheatfield strokes, and swirling sky treatment. The middle image is also clearly Van Gogh-like, though more muted and less rhythmically energized than the left. The right image keeps a wheat motif and warm palette, but it looks much smoother and more decorative, with less convincing brushstroke texture and weaker Van Gogh-like structure.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_009.png,5,4,2,left,right,original,relearned_150,5,4,2
