concept_rank,concept_name,prompt_id,prompt
1,Star-swept night skies and cypress silhouettes,1,"A tall cypress rising beside a moonlit village under a whorled indigo sky, thick impasto, painted canvas grain"
1,Star-swept night skies and cypress silhouettes,2,"Three dark cypress trees leaning over a hillside path with scattered stars, swirling brushwork, dense pigment"
1,Star-swept night skies and cypress silhouettes,3,"A small chapel tower beneath curling constellations and a crescent moon, textured oil paint, visible strokes"
1,Star-swept night skies and cypress silhouettes,4,"Rooftops clustered in a basin of blue hills with a flame-shaped cypress at the edge, ridged paint, expressive strokes"
1,Star-swept night skies and cypress silhouettes,5,"A winding lane descending toward lit windows under a sky of turning cloud bands, layered brushstrokes, lively pigment"
1,Star-swept night skies and cypress silhouettes,6,"A wheat field at night with a single cypress breaking the horizon and stars circling above, broken color, rough linen texture"
1,Star-swept night skies and cypress silhouettes,7,"A riverbank village reflected in dark water beneath rolling night currents, palette-knife accents, loaded paint"
1,Star-swept night skies and cypress silhouettes,8,"A moonlit cemetery wall with cypress shadows and a sky full of spiraling light, thick brushwork, tactile surface"
1,Star-swept night skies and cypress silhouettes,9,"Blue mountains behind a hamlet of pale houses and an upright cypress, chalky color patches, hand-painted surface"
1,Star-swept night skies and cypress silhouettes,10,"A narrow bridge crossing a canal under trembling stars and wind-bent trees, textured oil paint, visible strokes"
1,Star-swept night skies and cypress silhouettes,11,"A hilltop road with cypress silhouettes against sweeping night winds, matte gouache touch, rough paper texture"
1,Star-swept night skies and cypress silhouettes,12,"A cluster of farm roofs seen beyond an orchard in deep night blue, swirling strokes, ridged pigment"
1,Star-swept night skies and cypress silhouettes,13,"A lone cypress beside a white farmhouse under a broad haloed moon, thick impasto, painted canvas grain"
1,Star-swept night skies and cypress silhouettes,14,"A village square emptied into darkness except for a few amber windows and a restless sky, visible brushwork, oil texture"
1,Star-swept night skies and cypress silhouettes,15,"Stone cottages on a slope beneath a sky of blue vortices, layered paint, broken color"
